,"Suicide Rate"
"2000",10.12
"2001",10.12
"2002",10.2
"2003",9.91
"2004",10.19
"2005",10.13
"2006",10.03
"2007",9.84
"2008",9.82
"2009",9.66
"2010",9.23
"2011",9.06
"2012",9.18
"2013",8.47
"2014",9.1
"2015",9.2
"2016",9.18
"2017",9.16
"2018",8.91
"2019",8.72
"2020",7.68
"2021",8.02
