,"Suicide Rate"
"2000",3.56
"2001",3.41
"2002",3.55
"2003",3.5
"2004",3.57
"2005",3.74
"2006",3.8
"2007",3.71
"2008",3.74
"2009",3.7
"2010",3.3
"2011",3.3
"2012",3.54
"2013",3.04
"2014",3.43
"2015",3.48
"2016",3.46
"2017",3.46
"2018",3.42
"2019",3.35
"2020",3.09
"2021",3.16
